title,rate,cuisine,location,address,street,price_from,price_till,url
Es Krim Natural,4.32,['Es Krim'],Supratman,,"Jl. Cipunagara No. 20, Supratman, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/es-krim-natural-supratman
Ban-Da Ramen,4.09,['Jepang'],Cibadak,,"Jl. Cibadak No. 111, Cibadak, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/ban-da-ramen-cibadak
Maboo,4.17,['Korea'],Mekar Wangi,,"Jl. Mekar Utama No. 81, Mekar Wangi, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/maboo-mekar-wangi
Sakabumi Coffee,4.08,['Kafe'],Arcamanik,,"Jl. Arcamanik Endah No. 18, Arcamanik, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/sakabumi-coffee-arcamanik
Mala Bowl,3.91,['China'],Pasir Kaliki,"Paskal Hypersquare, Blok C No. 38","Jl. Pasir Kaliki No. 25 - 27, Pasir Kaliki, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/mala-bowl-pasir-kaliki
Bodas Coffee & Dessert Bar,3.85,['Kafe'],Burangrang,,"Jl. Talaga Bodas No. 64, Burangrang, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/bodas-coffee-dan-dessert-bar-burangrang
Palari,4.40,['Kafe'],Gatot Subroto,,"Jl. Gatot Subroto No. 160, Gatot Subroto, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/palari-gatot-subroto
Checo Eat & Chill,3.97,['Kafe'],Riau,,"Jl. Seram No. 3, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/checo-eat-dan-chill-riau
Royal Dynasty Restaurant,4.28,['China'],Sudirman,"Gedung Graha Sudirman, Lantai 1","Jl. Jendral Sudirman No. 232A, Sudirman, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/royal-dynasty-restaurant-sudirman
Kopi-q,3.96,['Kafe'],Mekar Wangi,,"Jl. Mekar Agung No. 1 - 5, Mekar Wangi, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/kopi-q-mekar-wangi
Kedai Kopi Oh,3.93,['Kafe'],Kopo,"Taman Kopo Indah II, Blok 4A No. 4A","Jl. Kopo Bihbul, Kopo, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/kedai-kopi-oh-kopo
Bumi Kiwari,4.28,['Kafe'],Padasuka,,"Jl. Balong, Padasuka, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/bumi-kiwari-padasuka
Eighteen Coffee,3.98,['Kafe'],Sukajadi,,"Jl. Cemara No. 46, Sukajadi, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/eighteen-coffee-sukajadi-2
Belah Doeren,4.36,['Indonesia'],Antapani,,"Jl. Purwakarta No. 43A, Antapani, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/belah-doeren-antapani
Sushi Day,4.67,['Jepang'],Moch Ramdhan,,"Jl. Sawah Kurung No. 12, Moch Ramdhan, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/sushi-day-moch-ramdhan
Tako Buranko,3.85,['Jepang'],Trunojoyo,,"Jl. Trunojoyo No. 23, Trunojoyo, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/tako-buranko-trunojoyo
Mana Foo & Cof,3.92,['Kafe'],Dago Atas,,"Jl. Cibengang No. 17, Dago Atas, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/mana-foo-dan-cof-dago-atas
Richeese Factory,4.05,,['Buah Batu'],,"Jl. Buah Batu No. 243, Buah Batu, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/richeese-factory-buah-batu
